packet_no,source_ip,destination_ip,protocol,payload
263,13:45:52,192.168.31.131,224.0.0.22,OTHER,Binary/Encrypted Data
264,13:45:52,192.168.31.131,148.113.8.206,TCP,Binary/Encrypted Data
265,13:45:52,148.113.8.206,192.168.31.131,TCP,No payload
266,13:45:52,192.168.31.131,148.113.8.206,TCP,No payload
267,13:45:53,148.113.8.206,192.168.31.131,TCP,No payload
268,13:45:53,192.168.31.131,192.168.31.1,UDP,No payload
269,13:45:53,192.168.31.131,192.168.31.1,UDP,No payload
270,13:45:53,192.168.31.131,192.168.31.1,UDP,No payload
271,13:45:53,192.168.31.1,192.168.31.131,UDP,No payload
272,13:45:53,192.168.31.1,192.168.31.131,UDP,No payload
273,13:45:53,192.168.31.1,192.168.31.131,UDP,No payload
274,13:45:53,192.168.31.131,224.0.0.22,OTHER,Binary/Encrypted Data
275,13:45:54,192.168.31.131,162.159.135.234,TCP,Binary/Encrypted Data
276,13:45:54,162.159.135.234,192.168.31.131,TCP,No payload
277,13:45:55,162.159.135.234,192.168.31.131,TCP,Binary/Encrypted Data
278,13:45:55,192.168.31.131,162.159.135.234,TCP,No payload
279,13:45:57,140.82.114.25,192.168.31.131,TCP,Binary/Encrypted Data
280,13:45:57,192.168.31.131,140.82.114.25,TCP,Binary/Encrypted Data
281,13:45:57,140.82.114.25,192.168.31.131,TCP,No payload
282,13:45:58,192.168.31.1,224.0.0.1,OTHER,Binary/Encrypted Data
283,13:45:58,192.168.31.131,224.0.0.22,OTHER,Binary/Encrypted Data
284,13:45:59,192.168.31.131,224.0.0.22,OTHER,Binary/Encrypted Data
285,13:46:02,192.168.31.131,148.113.8.206,TCP,Binary/Encrypted Data
286,13:46:03,148.113.8.206,192.168.31.131,TCP,No payload
287,13:46:04,192.168.31.1,224.0.0.1,OTHER,Binary/Encrypted Data
288,13:46:04,192.168.31.131,224.0.0.22,OTHER,Binary/Encrypted Data
289,13:46:05,192.168.31.131,224.0.0.22,OTHER,Binary/Encrypted Data
290,13:46:10,192.168.31.1,224.0.0.1,OTHER,Binary/Encrypted Data
291,13:46:10,192.168.31.131,224.0.0.22,OTHER,Binary/Encrypted Data
292,13:46:11,192.168.31.131,224.0.0.22,OTHER,Binary/Encrypted Data
293,13:46:13,148.113.8.206,192.168.31.131,TCP,No payload
294,13:46:13,192.168.31.131,148.113.8.206,TCP,No payload
